"Name","Id","Align ","Eye ","Hair ","Sex ","Alive ","Appearances ","First Appearance ","Year "
"marcello montesi (earth-616)"," None"," None"," None"," None"," male characters"," living characters"," 1.0"," jan-90"," 1990.0"
"maxwell taylor (earth-616)"," secret identity"," good characters"," None"," blond hair"," male characters"," living characters"," 17.0"," mar-93"," 1993.0"
"phanto (earth-616)"," public identity"," bad characters"," yellow eyes"," red hair"," male characters"," living characters"," 4.0"," nov-10"," 2010.0"
"rex herr (earth-616)"," public identity"," bad characters"," None"," black hair"," male characters"," living characters"," 8.0"," nov-46"," 1946.0"
"hana (earth-616)"," no dual identity"," good characters"," blue eyes"," blond hair"," female characters"," living characters"," 4.0"," jul-03"," 2003.0"
"ul-uhar (earth-616)"," secret identity"," neutral characters"," black eyes"," no hair"," male characters"," deceased characters"," 4.0"," apr-10"," 2010.0"
"dr. lang (the big boss) (earth-616)"," secret identity"," bad characters"," None"," brown hair"," male characters"," living characters"," 1.0"," oct-39"," 1939.0"
"astra (mutant) (earth-616)"," secret identity"," bad characters"," blue eyes"," black hair"," female characters"," living characters"," 10.0"," mar-99"," 1999.0"
"agent of fortune (earth-616)"," secret identity"," bad characters"," None"," None"," male characters"," living characters"," 5.0"," apr-78"," 1978.0"
"alaric (asgardian) (earth-616)"," no dual identity"," good characters"," None"," blond hair"," male characters"," living characters"," 11.0"," nov-85"," 1985.0"
"jesse aaronson (earth-616)"," secret identity"," good characters"," brown eyes"," black hair"," male characters"," deceased characters"," 45.0"," oct-98"," 1998.0"
"vincent frankenstein (earth-616)"," public identity"," bad characters"," None"," black hair"," male characters"," deceased characters"," 6.0"," mar-74"," 1974.0"
"jack croft (earth-616)"," secret identity"," bad characters"," blue eyes"," red hair"," male characters"," deceased characters"," 2.0"," mar-06"," 2006.0"
"lancaster sneed (earth-616)"," secret identity"," bad characters"," green eyes"," black hair"," male characters"," living characters"," 37.0"," jul-76"," 1976.0"
"xakku (earth-616)"," None"," None"," red eyes"," no hair"," male characters"," living characters"," 3.0"," jul-64"," 1964.0"
"scarface rispoli (earth-616)"," public identity"," bad characters"," None"," brown hair"," male characters"," living characters"," 1.0"," may-41"," 1941.0"
"shaka (earth-616)"," secret identity"," good characters"," brown eyes"," black hair"," male characters"," living characters"," 5.0"," oct-93"," 1993.0"
"fath (earth-616)"," public identity"," neutral characters"," blue eyes"," no hair"," male characters"," living characters"," 4.0"," sep-91"," 1991.0"
"joseph hogan (earth-616)"," public identity"," neutral characters"," blue eyes"," bald"," male characters"," living characters"," 33.0"," aug-62"," 1962.0"
"buford wilson (earth-616)"," secret identity"," bad characters"," blue eyes"," blond hair"," male characters"," deceased characters"," 17.0"," mar-91"," 1991.0"
"wesley werner (earth-616)"," public identity"," None"," None"," None"," male characters"," living characters"," 1.0"," nov-88"," 1988.0"
"king kobra (earth-616)"," secret identity"," bad characters"," None"," black hair"," male characters"," living characters"," 1.0"," may-61"," 1961.0"
"blok (mister x) (earth-616)"," secret identity"," bad characters"," brown eyes"," black hair"," male characters"," living characters"," 4.0"," feb-01"," 2001.0"
"farley london (earth-616)"," secret identity"," bad characters"," None"," black hair"," male characters"," living characters"," 2.0"," jan-71"," 1971.0"
"alex depaul (earth-616)"," None"," bad characters"," brown eyes"," brown hair"," male characters"," deceased characters"," 6.0"," feb-94"," 1994.0"
"ziegler (earth-616)"," public identity"," good characters"," None"," None"," male characters"," living characters"," 1.0"," dec-63"," 1963.0"
"lee franks (earth-616)"," None"," bad characters"," None"," bald"," male characters"," living characters"," 3.0"," apr-96"," 1996.0"
"jane thorne (earth-616)"," secret identity"," neutral characters"," None"," None"," female characters"," living characters"," 23.0"," nov-89"," 1989.0"
"vex (coven) (earth-616)"," secret identity"," bad characters"," None"," red hair"," male characters"," deceased characters"," 5.0"," jul-93"," 1993.0"
"pulssus (earth-616)"," public identity"," None"," None"," no hair"," male characters"," living characters"," 8.0"," mar-95"," 1995.0"
"bokk (earth-616)"," no dual identity"," bad characters"," None"," black hair"," male characters"," deceased characters"," 1.0"," dec-48"," 1948.0"
"redblade (earth-616)"," None"," bad characters"," None"," black hair"," male characters"," living characters"," 1.0"," feb-90"," 1990.0"
"leon murtaugh (earth-616)"," secret identity"," bad characters"," brown eyes"," bald"," male characters"," deceased characters"," 9.0"," sep-07"," 2007.0"
"lazarus (earth-616)"," secret identity"," bad characters"," None"," white hair"," male characters"," living characters"," 4.0"," jan-75"," 1975.0"
"mrs. jenks (earth-616)"," None"," good characters"," None"," None"," female characters"," living characters"," 8.0"," jan-73"," 1973.0"
"rahne sinclair (earth-616)"," secret identity"," good characters"," green eyes"," red hair"," female characters"," living characters"," 448.0"," nov-82"," 1982.0"
"ma mayhem (earth-616)"," secret identity"," bad characters"," None"," blond hair"," female characters"," living characters"," 2.0"," jun-74"," 1974.0"
"mubangi (earth-616)"," no dual identity"," bad characters"," None"," black hair"," male characters"," deceased characters"," 1.0"," oct-39"," 1939.0"
"arthur parks (earth-616)"," None"," bad characters"," variable eyes"," variable hair"," male characters"," living characters"," 88.0"," nov-66"," 1966.0"
"tricephalous (earth-616)"," secret identity"," None"," red eyes"," no hair"," male characters"," living characters"," 13.0"," nov-61"," 1961.0"
"frederick slade (earth-616)"," secret identity"," neutral characters"," green eyes"," pink hair"," male characters"," living characters"," 4.0"," may-06"," 2006.0"
"mondo pain (earth-616)"," None"," bad characters"," None"," black hair"," male characters"," living characters"," 5.0"," dec-93"," 1993.0"
"lockup (earth-616)"," secret identity"," bad characters"," None"," None"," male characters"," deceased characters"," 3.0"," aug-88"," 1988.0"
"number two (sentinel) (earth-616)"," no dual identity"," bad characters"," yellow eyes"," no hair"," None"," deceased characters"," 6.0"," jul-69"," 1969.0"
"blanche sitznski (earth-616)"," secret identity"," bad characters"," green eyes"," blond hair"," female characters"," living characters"," 69.0"," jun-80"," 1980.0"
"bill (secret hospital) (earth-616)"," no dual identity"," None"," None"," None"," male characters"," living characters"," 1.0"," jul-90"," 1990.0"
"electro (robot) (earth-616)"," None"," good characters"," None"," no hair"," None"," living characters"," 31.0"," feb-40"," 1940.0"
"seraph (earth-616)"," secret identity"," good characters"," blue eyes"," white hair"," female characters"," living characters"," 13.0"," sep-90"," 1990.0"
"perry webb (earth-616)"," no dual identity"," good characters"," brown eyes"," black hair"," male characters"," living characters"," 5.0"," None"," None"
"black maria (earth-616)"," secret identity"," neutral characters"," white eyes"," black hair"," female characters"," living characters"," 3.0"," dec-07"," 2007.0"
"terry kwan (earth-616)"," public identity"," neutral characters"," brown eyes"," black hair"," female characters"," living characters"," 11.0"," jan-99"," 1999.0"
"phantom of massacre gulch (tully) (earth-616)"," secret identity"," bad characters"," None"," grey hair"," male characters"," deceased characters"," 1.0"," mar-51"," 1951.0"
"elistis diggenwell (earth-616)"," public identity"," neutral characters"," None"," black hair"," male characters"," living characters"," 1.0"," nov-48"," 1948.0"
"jun tenta (earth-616)"," secret identity"," bad characters"," brown eyes"," black hair"," male characters"," deceased characters"," 8.0"," sep-90"," 1990.0"
"mrs. st. croix (earth-616)"," secret identity"," good characters"," brown eyes"," brown hair"," female characters"," deceased characters"," 2.0"," dec-99"," 1999.0"
"peg lonestar (earth-616)"," None"," None"," None"," None"," female characters"," living characters"," 4.0"," aug-84"," 1984.0"
"jasmine destine (earth-616)"," secret identity"," good characters"," brown eyes"," black hair"," female characters"," living characters"," 22.0"," jul-94"," 1994.0"
"minotaur (mole man) (earth-616)"," secret identity"," bad characters"," None"," None"," male characters"," living characters"," 3.0"," jun-65"," 1965.0"
"captain amerigo (earth-616)"," secret identity"," good characters"," None"," blond hair"," male characters"," living characters"," 1.0"," may-44"," 1944.0"
"black baron (1940s) (earth-616)"," public identity"," bad characters"," None"," black hair"," male characters"," living characters"," 1.0"," may-47"," 1947.0"
"timothy black (earth-616)"," None"," bad characters"," None"," black hair"," male characters"," deceased characters"," 4.0"," jun-05"," 2005.0"
"yada (earth-616)"," no dual identity"," good characters"," None"," white hair"," female characters"," living characters"," 2.0"," oct-78"," 1978.0"
"francisco fuentes (earth-616)"," secret identity"," None"," None"," None"," male characters"," deceased characters"," 10.0"," oct-97"," 1997.0"
"filippo ayala (earth-616)"," no dual identity"," bad characters"," None"," None"," male characters"," deceased characters"," 4.0"," aug-76"," 1976.0"
"frank cortez (earth-616)"," secret identity"," good characters"," None"," red hair"," male characters"," deceased characters"," 5.0"," aug-11"," 2011.0"
"charles snow (earth-616)"," public identity"," None"," None"," None"," male characters"," living characters"," 10.0"," mar-79"," 1979.0"
"grand vizier (polemachus) (earth-616)"," None"," good characters"," brown eyes"," bald"," male characters"," living characters"," 9.0"," apr-70"," 1970.0"
"bombu (earth-616)"," secret identity"," bad characters"," black eyes"," orange hair"," male characters"," living characters"," 3.0"," sep-60"," 1960.0"
"robert carter (earth-616)"," no dual identity"," good characters"," None"," brown hair"," male characters"," living characters"," 2.0"," may-62"," 1962.0"
"bud cable (earth-616)"," None"," bad characters"," brown eyes"," black hair"," male characters"," living characters"," 2.0"," jan-89"," 1989.0"
"karl schwab (earth-616)"," no dual identity"," bad characters"," None"," bald"," male characters"," deceased characters"," 1.0"," feb-41"," 1941.0"
"mass (freedom force) (earth-616)"," secret identity"," neutral characters"," black eyes"," red hair"," male characters"," living characters"," 2.0"," mar-13"," 2013.0"
"cameron leonard (earth-616)"," secret identity"," bad characters"," white eyes"," None"," male characters"," deceased characters"," 1.0"," sep-90"," 1990.0"
"starbolt ii (earth-616)"," secret identity"," good characters"," None"," None"," None"," living characters"," 8.0"," may-10"," 2010.0"
"karen lee (ross) (earth-616)"," no dual identity"," neutral characters"," brown eyes"," brown hair"," female characters"," deceased characters"," 2.0"," jan-84"," 1984.0"
"melvin potter (earth-616)"," public identity"," None"," blue eyes"," bald"," male characters"," living characters"," 59.0"," jul-66"," 1966.0"
"solon stabilizer (earth-616)"," public identity"," neutral characters"," None"," None"," female characters"," living characters"," 2.0"," dec-81"," 1981.0"
"robert bruce banner (mandarin robot) (earth-616)"," secret identity"," bad characters"," green eyes"," green hair"," agender characters"," living characters"," 2.0"," jan-69"," 1969.0"
"diablo (bear) (earth-616)"," public identity"," None"," brown eyes"," black hair"," male characters"," living characters"," 5.0"," oct-49"," 1949.0"
"dinah soar (earth-616)"," secret identity"," good characters"," black eyes"," no hair"," female characters"," deceased characters"," 21.0"," jul-89"," 1989.0"
"princess tonka (earth-616)"," public identity"," good characters"," None"," brown hair"," female characters"," living characters"," 1.0"," feb-40"," 1940.0"
"chin hsi (earth-616)"," secret identity"," good characters"," None"," None"," male characters"," living characters"," 2.0"," jan-02"," 2002.0"
"keith dixon (earth-616)"," None"," good characters"," None"," black hair"," male characters"," living characters"," 2.0"," sep-06"," 2006.0"
"william foster (earth-616)"," secret identity"," None"," brown eyes"," black hair"," male characters"," deceased characters"," 100.0"," sep-66"," 1966.0"
"wilhelmina lumpkin (earth-616)"," public identity"," good characters"," None"," red hair"," female characters"," living characters"," 9.0"," feb-98"," 1998.0"
"peter alraune (earth-616)"," None"," good characters"," None"," white hair"," male characters"," deceased characters"," 5.0"," nov-80"," 1980.0"
